code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603208,江山欧派,家居用品,浙江,23.73,0.31,0.81,139430.06,92962.92,18672.38,51759.05,6.4,1.17,11.71,2.97,20170210,31140.7,3.85,31.09,5.8,32.25,12.99,7348.0
600679,上海凤凰,文教休闲,上海,70.34,1.91,4.02,187736.5,65939.6,13169.95,76253.36,1.9,0.159,3.3,4.52,19931008,6659.06,0.17,137.36,86.33,15.03,5.89,52414.0
600368,五洲交通,路桥,广西,10.65,8.34,8.34,1111233.63,367083.63,637254.0,48939.05,0.59,0.353,3.86,1.3,20001221,151784.13,1.82,35.73,49.46,65.93,24.85,54570.0
300318,博晖创新,医疗保健,北京,144.43,5.7,8.21,260360.22,72287.4,41365.4,31212.1,0.38,0.026000000000000002,1.76,2.86,20120523,28611.09,0.35,9.28,4.17,54.1,6.99,26780.0
600006,东风汽车,汽车整车,湖北,65.93,20.0,20.0,2281644.75,1556881.25,400214.97,60921.46,0.3,0.057999999999999996,3.27,1.55,19990727,321429.59,1.61,24.06,-49.23,10.99,0.89,141823.0
300407,凯发电气,电气设备,天津,34.95,1.65,2.76,199450.38,169008.11,18531.92,15579.13,0.56,0.22,3.54,2.87,20141203,52370.42,1.89,243.38,-37.82,25.31,5.98,20046.0
603366,日出东方,家用电器,江苏,37.4,8.0,8.0,654749.75,241148.55,122413.97,191934.88,2.4,0.102,4.64,1.1,20120521,79872.93,1.0,15.57,-63.23,37.81,4.26,36473.0
600428,中远海特,水运,广东,50.79,16.9,21.47,2089011.63,299329.72,1560052.75,428154.0,1.99,0.075,4.38,1.16,20020418,249181.63,1.16,15.12,387.04,16.18,3.25,123478.0
656,金科股份,区域地产,重庆,21.6,52.34,53.4,14218635.0,13086588.0,244487.2,388133.53,0.73,0.15,3.13,1.63,19961128,690017.75,1.29,-15.11,-6.05,18.69,5.24,213602.0
2141,贤丰控股,元器件,广东,753.79,6.37,11.35,147096.19,92123.78,16804.28,9336.41,0.08,0.005,1.15,4.46,20070720,5748.91,0.05,45.36,-15.61,10.63,0.69,81249.0
603029,天鹅股份,农用机械,山东,0.0,0.37,0.93,91155.11,56746.55,18449.82,22077.5,2.37,-0.03,7.47,2.06,20160427,33248.95,3.56,-14.97,-115.87,33.19,-1.57,16968.0
2172,澳洋科技,化纤,江苏,16.62,5.59,7.35,530290.19,272128.06,179407.94,95108.75,1.29,0.23,1.93,2.66,20070921,-7533.22,-0.1,15.7,-15.04,12.22,4.24,46799.0
2105,信隆健康,文教休闲,深圳,32.74,3.69,3.69,150686.23,94692.28,45172.59,6092.15,0.17,0.11900000000000001,1.43,3.65,20070112,4086.12,0.11,37.87,97.33,16.32,3.26,36420.0
600249,两面针,日用化工,广西,0.0,4.5,5.5,323929.22,99010.27,114079.5,85739.86,1.56,-0.128,3.52,1.49,20040130,11563.82,0.21,-5.29,23.7,20.24,-6.53,62924.0
603679,华体科技,电气设备,四川,53.09,0.25,1.01,66248.49,52862.53,5497.2,19407.0,1.92,0.36,4.94,4.26,20170621,17812.61,1.76,0.0,0.0,34.15,10.35,8190.0
603777,来伊份,其他商业,上海,38.53,0.78,2.44,276713.78,193476.34,52085.07,105929.86,4.35,0.42,7.78,2.71,20161012,62215.76,2.55,10.01,24.94,46.06,3.9,36050.0
